Document ID: 7,Document Name : AI and Machine Learning Basics, Document Status: public, Category: Publications, Date : 12/8/2023, Document Path: /documents/ai_ml_basics.pdf, Document Type: pdf, User Email: user7@example.com
Document ID: 8, Document Name :Outstanding Performance Award, Document Status: private, Category: Award, Date: 23/7/2023 , Document Path: /documents/outstanding_performance_award.pdf , Document Type: pdf , User Email: user8@example.com
Document ID: 9 , Document Name :Cloud Computing Training , Document Status: public , Category: Training , Date:14/6/2023 , Document Path: /documents/cloud_computing_training.pdf , Document Type: pdf , User Email: user9@example.com
Document ID: 10 , Document Name :Data Science Research , Document Status: private , Category: Publications , Date:11/5/2023 , Document Path: /documents/data_science_research.pdf , Document Type: pdf , User Email: user10@example.com
Document ID: 11 , Document Name :Innovation Award 2023 , Document Status: public , Category: Award , Date:5/4/2023 , Document Path: /documents/innovation_award_2023.pdf , Document Type: pdf , User Email: user11@example.com
Document ID: 12 , Document Name :Advanced SQL Workshop , Document Status: private , Category: Training , Date:22/3/2023 , Document Path: /documents/advanced_sql_workshop.pdf , Document Type: pdf , User Email: user12@example.com
Document ID: 13 , Document Name :Blockchain Whitepaper , Document Status: public , Category: Publications , Date:18/2/2023 , Document Path: /documents/blockchain_whitepaper.pdf , Document Type: pdf , User Email: user13@example.com
Document ID: 14 , Document Name :Leadership Award , Document Status: private , Category: Award , Date:30/1/2023 , Document Path: /documents/leadership_award.pdf , Document Type: pdf , User Email: user14@example.com
Document ID: 15 , Document Name :JavaScript Mastery Course , Document Status: public , Category: Training , Date:19/12/2022 , Document Path: /documents/javascript_mastery_course.pdf , Document Type: pdf , User Email: user15@example.com
Document ID: 16 , Document Name :Quantum Computing Article , Document Status: private , Category: Publications , Date:25/11/2022 , Document Path: /documents/quantum_computing_article.pdf , Document Type: pdf , User Email: user16@example.com
Document ID: 17 , Document Name :Employee Recognition 2022 , Document Status: public , Category: Award , Date:14/10/2022 , Document Path: /documents/employee_recognition_2022.pdf , Document Type: pdf , User Email: user17@example.com
Document ID: 18 , Document Name :Cybersecurity Training , Document Status: private , Category: Training , Date:29/9/2022 , Document Path: /documents/cybersecurity_training.pdf , Document Type: pdf , User Email: user18@example.com
Document ID: 19 , Document Name :Big Data Analytics Report , Document Status: public , Category: Publications , Date:22/8/2022 , Document Path: /documents/big_data_analytics_report.pdf , Document Type: pdf , User Email: user19@example.com
Document ID: 20 , Document Name :Team Collaboration Award , Document Status: private , Category: Award , Date:17/7/2022 , Document Path: /documents/team_collaboration_award.pdf , Document Type: pdf , User Email: user20@example.com
Document ID: 21 , Document Name :Agile Methodologies Workshop , Document Status: public , Category: Training , Date:11/6/2022 , Document Path: /documents/agile_methodologies_workshop.pdf , Document Type: pdf , User Email: user21@example.com
Document ID: 22 , Document Name :Natural Language Processing Paper , Document Status: private , Category: Publications , Date:9/5/2022 , Document Path: /documents/nlp_paper.pdf , Document Type: pdf , User Email: user22@example.com
Document ID: 23 , Document Name :Excellence in Service Award , Document Status: public , Category: Award , Date:1/4/2022 , Document Path: /documents/excellence_in_service_award.pdf , Document Type: pdf , User Email: user23@example.com
Document ID: 26, Document Name: Customer Satisfaction Award, Document Status: private, Category: Award, Date: 23/1/2022, Document Path: /documents/customer_satisfaction_award.pdf, Document Type: pdf, User Email: user26@example.com
Document ID: 27, Document Name: Machine Learning Workshop, Document Status: public, Category: Training, Date: 15/12/2021, Document Path: /documents/machine_learning_workshop.pdf, Document Type: pdf, User Email: user27@example.com
Document ID: 28, Document Name: IoT Research Findings, Document Status: private, Category: Publications, Date: 9/11/2021, Document Path: /documents/iot_research_findings.pdf, Document Type: pdf, User Email: user28@example.com
Document ID: 29, Document Name: Productivity Improvement Award, Document Status: public, Category: Award, Date: 3/10/2021, Document Path: /documents/productivity_improvement_award.pdf, Document Type: pdf, User Email: user29@example.com
Document ID: 30, Document Name: React Native Training, Document Status: private, Category: Training, Date: 21/9/2021, Document Path: /documents/react_native_training.pdf, Document Type: pdf, User Email: user30@example.com
Document ID: 31, Document Name: Digital Transformation Article, Document Status: public, Category: Publications, Date: 13/8/2021, Document Path: /documents/digital_transformation_article.pdf, Document Type: pdf, User Email: user31@example.com
Document ID: 32, Document Name: Safety Excellence Award, Document Status: private, Category: Award, Date: 27/7/2021, Document Path: /documents/safety_excellence_award.pdf, Document Type: pdf, User Email: user32@example.com
Document ID: 33, Document Name: Kubernetes Essentials Training, Document Status: public, Category: Training, Date: 19/6/2021, Document Path: /documents/kubernetes_essentials_training.pdf, Document Type: pdf, User Email: user33@example.com
Document ID: 34, Document Name: AI in Healthcare Whitepaper, Document Status: private, Category: Publications, Date: 11/5/2021, Document Path: /documents/ai_in_healthcare_whitepaper.pdf, Document Type: pdf, User Email: user34@example.com
Document ID: 35, Document Name: Top Performer Award, Document Status: public, Category: Award, Date: 1/4/2021, Document Path: /documents/top_performer_award.pdf, Document Type: pdf, User Email: user35@example.com
Document ID: 36, Document Name: Linux Administration Course, Document Status: private, Category: Training, Date: 20/3/2021, Document Path: /documents/linux_administration_course.pdf, Document Type: pdf, User Email: user36@example.com
Document ID: 37, Document Name: DevOps Practices Guide, Document Status: public, Category: Publications, Date: 18/2/2021, Document Path: /documents/devops_practices_guide.pdf, Document Type: pdf, User Email: user37@example.com
Document ID: 38, Document Name: Customer Loyalty Award, Document Status: private, Category: Award, Date: 12/1/2021, Document Path: /documents/customer_loyalty_award.pdf, Document Type: pdf, User Email: user38@example.com
Document ID: 39, Document Name: Microservices Architecture Training, Document Status: public, Category: Training, Date: 5/12/2020, Document Path: /documents/microservices_architecture_training.pdf, Document Type: pdf, User Email: user39@example.com
Document ID: 40, Document Name: AI in Finance Report, Document Status: private, Category: Publications, Date: 19/11/2020, Document Path: /documents/ai_in_finance_report.pdf, Document Type: pdf, User Email: user40@example.com
Document ID: 41, Document Name: Best Innovator Award, Document Status: public, Category: Award, Date: 7/10/2020, Document Path: /documents/best_innovator_award.pdf, Document Type: pdf, User Email: user41@example.com
Document ID: 42, Document Name: Data Visualization Training, Document Status: private, Category: Training, Date: 23/9/2020, Document Path: /documents/data_visualization_training.pdf, Document Type: pdf, User Email: user42@example.com
